CustomerID,Name,Gender,Age,City,Signup_Date,Last_purchase_date,purchase_amount,feedback_score,email,Phone_number,Country
,Ankit,Female,36.0,Mumbai,2024-12-31,2025-08-13,,2.0,,,Canada
C2,Ravi,Female,,Kolkata,,,,,,,Canada
3,Ravi,Female,66.0,Ahmedabad,,2023-06-20,,,user2@mail.com,,India
C4,Ankit,Male,44.0,Kolkata,,2025-09-13,,,,9316267914,USA
5,Rahul,Male,,Ahmedabad,2025-07-09,,,,,9234603292,USA
C6,Amit,,64.0,Mumbai,,,,5.0,,,UK
7,Kiran,,,Pune,,,,,,,Australia
8,Rahul,,,Delhi,,2021-11-15,,,user7@mail.com,,Canada
C9,Simran,Female,,Pune,,,,,,,India
10,Simran,,,Pune,2023-12-18,,887.49,,,,Canada
,Ankit,,24.0,Chennai,,,,,,,
C12,Ravi,Male,,Hyderabad,2025-05-29,,2712.5,3.0,,,UK
13,Rahul,Male,,Bangalore,,,2822.0,,user12@mail.com,,Australia
14,Ravi,,,Mumbai,2024-12-15,,,1.0,,,USA
15,Kiran,,62.0,,2022-10-16,2025-12-04,,5.0,,9610475090,USA
,,Female,30.0,Pune,,,,,,,Canada
17,Pooja,Male,,Pune,2021-12-18,2022-11-11,509.03,5.0,,,India
18,Priya,Female,,Ahmedabad,,2021-10-10,1582.43,,,,UK
19,Sneha,,38.0,Pune,2023-01-07,,,,,,
20,Simran,Male,,Pune,2021-07-21,2024-07-06,938.55,,,9533545457,Canada
C21,,Female,26.0,Mumbai,2021-06-28,,,2.0,,9720985722,USA
C22,Ravi,Male,,Kolkata,,,,,user21@mail.com,9164267579,
23,Rahul,Male,,Bangalore,2022-05-28,,,,,,Australia
C24,Kiran,Male,,Chennai,,,,,,,
,Ankit,Female,,Hyderabad,,,,4.0,,,Australia
26,Simran,Female,,Kolkata,2025-07-17,,1250.98,,,,UK
,Kiran,,,Kolkata,2024-05-28,,4772.57,4.0,,,UK
C28,Neha,Female,,Ahmedabad,,2022-05-30,84.02,2.0,,9693394106,Australia
C29,,,47.0,Hyderabad,,,,2.0,user28@mail.com,,
C30,Simran,,,Pune,2022-10-11,2024-06-13,,,,,India
31,Sneha,,21.0,Mumbai,2025-02-28,,,,,9919454989,USA
,Rahul,Female,,,,2024-05-09,41.61,,,,Canada
C33,Ravi,,,Chennai,2025-11-30,,,4.0,,,
,,Male,,Kolkata,2023-04-16,,,,,9281075045,Canada
C35,Pooja,Male,,,2023-05-31,,1380.12,,,,India
C36,Rahul,Male,,Delhi,2024-09-26,,,,,,Australia
37,Rahul,Male,,Pune,,2025-05-18,,,user36@mail.com,9168733414,
38,Kiran,Female,,Mumbai,,2025-12-03,,,,,India
39,Ankit,Male,,Pune,2025-10-12,,870.32,1.0,,,UK
40,Rahul,Male,,,2024-06-26,,,,,,India
41,Ravi,,42.0,Ahmedabad,2023-01-08,,,,,,Canada
,Simran,Female,,,,,,1.0,user41@mail.com,,Canada
C43,Kiran,Female,,,,,1719.83,5.0,,,Australia
,Kiran,Female,50.0,Chennai,2024-11-13,,,,,,Australia
45,Neha,Female,,Chennai,2022-12-07,,3631.99,,,,Australia
,Neha,Female,67.0,Ahmedabad,,2022-07-01,1661.36,1.0,,,USA
C47,Rahul,Male,47.0,Mumbai,2024-10-25,,,,,9948909030,India
48,,Female,,Pune,,2022-04-08,,3.0,,,India
C49,Sneha,Male,22.0,Mumbai,,2024-03-15,,5.0,user48@mail.com,,Australia
C50,Sneha,Female,38.0,Delhi,,,3841.35,,,9125908338,
,,Female,,Kolkata,,,,1.0,,,Canada
C52,,Male,52.0,,,,,,,9821999811,UK
53,Rahul,Male,24.0,,,2024-06-14,,,user52@mail.com,9246223934,UK
C54,Sneha,Female,,Mumbai,2021-07-25,,3147.13,,,,Australia
55,Amit,Male,,Pune,,,4911.38,,,,Australia
56,Rahul,Female,,Chennai,,,,1.0,,,USA
57,Ravi,Male,,Hyderabad,,2021-07-28,,,,,India
,Pooja,Female,,Chennai,2023-09-24,,,,,9208493774,Canada
C59,Simran,Female,,Mumbai,,,,,,,Canada
,,Male,57.0,Kolkata,,,4812.75,,,,
61,Pooja,Female,59.0,Kolkata,,,,1.0,,,Canada
,,Male,,Kolkata,2024-04-12,2026-01-21,,4.0,,,Australia
63,Pooja,,,Ahmedabad,,,176.23,,user62@mail.com,,
64,Ankit,Male,,Ahmedabad,,,,,user63@mail.com,,USA
65,Simran,,,Delhi,,,940.07,1.0,,,USA
C66,Priya,,23.0,Ahmedabad,2025-08-25,,659.47,,user65@mail.com,,USA
67,Simran,Male,,Ahmedabad,,,,,,9677889075,USA
C68,,Female,,Mumbai,2020-12-30,,,,,9450576722,India
69,Rahul,Male,,Hyderabad,2022-05-09,2022-11-18,1019.16,3.0,,9828355744,
C70,Amit,Male,,Delhi,2022-01-25,,,4.0,,,Canada
C71,Sneha,Male,,Kolkata,2023-11-23,,,,,,UK
C72,Sneha,,23.0,Mumbai,,2024-10-05,,,,,Australia
73,,Female,,Bangalore,2025-12-13,,,,user72@mail.com,,
,Simran,Female,,Bangalore,2023-09-22,,,,user73@mail.com,,Canada
75,,Male,68.0,Mumbai,2021-04-01,,,,,,UK
C76,Simran,Female,,Hyderabad,,,1958.1,2.0,,,India
,,,,Bangalore,2021-06-16,,,2.0,user76@mail.com,9610832582,UK
78,Amit,,,,2024-06-20,,2267.95,,,,
79,Kiran,Female,,,2020-11-11,2022-03-28,,,,,India
,Ankit,,,Chennai,2021-12-11,,1517.55,1.0,user79@mail.com,,USA
,Rahul,Female,,Delhi,,,,,,,UK
82,Pooja,Male,,Hyderabad,,,477.91,,,,Australia
83,,Male,47.0,Bangalore,2025-11-22,,1105.17,,,,Australia
,Priya,Female,,Ahmedabad,,,3720.97,2.0,,,Canada
C85,Priya,Male,51.0,Delhi,,,,,,,USA
86,Kiran,Female,,Pune,,,,,,,UK
87,,Male,,Kolkata,2020-12-05,,,1.0,user86@mail.com,,Canada
88,Kiran,Male,,Delhi,,,,3.0,,9697738597,Australia
89,Rahul,,,Hyderabad,,,,,user88@mail.com,,
,Ankit,Male,51.0,Hyderabad,,,,,,,USA
91,Simran,Male,66.0,,,,,,user90@mail.com,,USA
C92,Ankit,,,Delhi,2025-07-21,,2589.13,,,,UK
93,Ravi,Female,,Pune,2023-12-05,,,,,,India
,,Male,53.0,Kolkata,,,,,user93@mail.com,9871388211,USA
C95,Amit,Male,,Hyderabad,,,,,,9387106416,
,Simran,Male,,,2023-02-03,,,,,,USA
C97,Simran,Male,,Pune,,,,,user96@mail.com,9762381262,Canada
C98,Kiran,Female,,,,,,,,,
99,Amit,,,Bangalore,,,,5.0,,9486647874,India
C100,Priya,Male,,Pune,,,,,,,USA
C101,Neha,,43.0,Mumbai,,2022-02-20,,3.0,user100@mail.com,,India
102,Pooja,,,Mumbai,2023-09-15,,,,,,Canada
,Simran,,,Mumbai,,,,,,,UK
104,,Male,,,2023-09-09,,,,user103@mail.com,,UK
