CustomerID,Name,Gender,Age,City,Signup_Date,Last_purchase_date,purchase_amount,feedback_score,email,Phone_number,Country
,Ankit,F,36,Mumbai,31-12-2024,13-08-2025,-999,2,,0,Canada
C2,Ravi,Female,,Kolkata,,,N/A,-1,user1mail.com,abc123,Canada
3,Ravi,female,66,Ahmedabad,,20-06-2023,N/A,10,user2@mail.com,abc123,India
C4,Ankit,male,44,Kolkata,,13-09-2025,,,,9316267914,USA
5,Rahul,Male,200,Ahmedabad,09-07-2025,,-999,,user4mail.com,9234603292,USA
C6,Amit,,64,Mumbai,not_a_date,,N/A,5,,abc123,UK
7,Kiran,,200,Pune,not_a_date,missing,-999,,user6mail.com,,Australia
8,Rahul,,200,Delhi,,15-11-2021,-999,10,user7@mail.com,abc123,Canada
C9,Simran,Female,,Pune,not_a_date,,-999,-1,,abc123,India
10,Simran,,,Pune,18-12-2023,missing,887.49,10,user9mail.com,0,Canada
,Ankit,,24,Chennai,not_a_date,,,-1,user10mail.com,0,
C12,Ravi,male,-5,Hyderabad,29-05-2025,20-03-2021,2712.5,3,,,UK
13,Rahul,male,,Bangalore,not_a_date,,2822,-1,user12@mail.com,abc123,Australia
14,Ravi,,,Mumbai,15-12-2024,26-03-2022,-999,1,,0,USA
15,Kiran,,62,,16-10-2022,04-12-2025,-999,5,,9610475090,USA
,,female,30,Pune,,,-999,,user15mail.com,abc123,Canada
17,Pooja,male,,Pune,18-12-2021,11-11-2022,509.03,5,,,India
18,Priya,Female,-5,Ahmedabad,not_a_date,10-10-2021,1582.43,,user17mail.com,,UK
19,Sneha,,38,Pune,07-01-2023,,N/A,-1,user18mail.com,0,
20,Simran,M,-5,Pune,21-07-2021,06-07-2024,938.55,-1,,9533545457,Canada
C21,,Female,26,Mumbai,28-06-2021,missing,,2,,9720985722,USA
C22,Ravi,M,200,Kolkata,not_a_date,missing,N/A,,user21@mail.com,9164267579,
23,Rahul,Male,200,Bangalore,28-05-2022,missing,,,,0,Australia
C24,Kiran,Male,200,Chennai,,missing,N/A,10,user23mail.com,0,
,Ankit,female,,Hyderabad,,missing,N/A,4,,abc123,Australia
26,Simran,female,-5,Kolkata,17-07-2025,05-09-2020,1250.98,,,0,UK
,Kiran,,,Kolkata,28-05-2024,14-11-2020,4772.57,4,user26mail.com,abc123,UK
C28,Neha,female,,Ahmedabad,not_a_date,30-05-2022,84.02,2,user27mail.com,9693394106,Australia
C29,,,47,Hyderabad,not_a_date,,-999,2,user28@mail.com,,
